"i","BICreg","BICregf","SSTotal","SSreg","SSE","SSregf","SSEf"
2,379.765259388446,379.765259388446,63.2471132776586,0.187690717344573,63.059422560314,0.187690717344573,63.059422560314
3,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
4,340.338232044832,345.087393809748,63.2471132776586,9.52605731713962,53.721055960519,9.69093483320228,53.5561784444563
5,383.832970278732,389.338042774116,63.2471132776586,0.555134409222973,62.6919788684356,0.555200424491247,62.6919128531673
6,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
7,385.736280369704,390.362946298795,63.2471132776586,0.0682032345541401,63.1789100431044,0.293463852603509,62.9536494250551
8,385.444414339106,385.444414339106,63.2471132776586,0.143117230914534,63.1039960467441,0.143117230914534,63.1039960467441
9,383.480720793231,387.295708073773,63.2471132776586,0.644839345288474,62.6022739323701,1.07352497959127,62.1735882980673
10,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
11,353.747890283344,359.253044806568,63.2471132776586,7.77189311072819,55.4752201669304,7.77193302867707,55.4751802489815
12,379.454871423708,379.454871423708,63.2471132776586,0.267205120085279,62.9799081575733,0.267205120085279,62.9799081575733
13,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
14,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
15,385.686383710732,390.822913768984,63.2471132776586,0.0810166363626408,63.1660966412959,0.175643856246147,63.0714694214124
16,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
17,380.543907263964,385.812736361384,63.2471132776586,1.38775856017048,61.8593547174881,1.44720107220163,61.799912205457
18,379.853731321107,385.266455069343,63.2471132776586,1.5610675181555,61.6860457595031,1.58428513236745,61.6628281452911
19,384.129370075582,389.590436694781,63.2471132776586,0.479552747653919,62.7675605300047,0.490846043932372,62.7562672337262
20,376.656389920674,376.656389920674,63.2471132776586,0.979601073936777,62.2675122037218,0.979601073936777,62.2675122037218
21,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
