Gene,Response
GTEX-X261,0.030871575
GTEX-X3Y1,-0.229705592
GTEX-X4EO,0.222177731
GTEX-X4EP,0.031429677
GTEX-X4LF,-0.346519278
GTEX-X4XX,-0.80663231
GTEX-X4XY,-0.355589902
GTEX-X585,-0.465211206
GTEX-XBEC,0.17840782
GTEX-XBEW,0.268174796
GTEX-XMD2,-0.781788878
GTEX-XOT4,0.186717215
GTEX-XPVG,0.779730843
GTEX-XV7Q,0.910161493
GTEX-XYKS,0.12377407
GTEX-Y111,1.149428715
GTEX-Y3I4,0.261223118
GTEX-Y5LM,0.673922322
GTEX-Y5V5,0.037872348
GTEX-Y5V6,0.479841798
GTEX-Y8E4,-0.006183248
GTEX-Y8LW,0.823688367
GTEX-Y9LG,-0.372137023
GTEX-YEC3,-1.318894229
GTEX-YEC4,-0.142094435
GTEX-YECK,0.436708425
GTEX-YF7O,0.685034188
GTEX-YFC4,-0.596337829
GTEX-YFCO,0.219823327
GTEX-ZA64,0.240780808
GTEX-ZAB4,0.263470516
GTEX-ZAB5,-0.527806356
GTEX-ZC5H,-0.108547111
GTEX-ZDTS,0.686999676
GTEX-ZDTT,0.088398465
GTEX-ZDXO,0.745510605
GTEX-ZDYS,-0.547874189
GTEX-ZE7O,-0.199988393
GTEX-ZEX8,-0.301524552
GTEX-ZF28,-0.202296658
GTEX-ZF29,-0.608640834
GTEX-ZF2S,0.306457917
GTEX-ZG7Y,-0.030028713
GTEX-ZLV1,0.572654994
GTEX-ZLWG,0.137302721
GTEX-ZPIC,-0.010755864
GTEX-ZPU1,-0.574209697
GTEX-ZQG8,-1.432200514
GTEX-ZT9W,0.586719306
GTEX-ZT9X,-0.630442462
GTEX-ZTPG,0.136595317
GTEX-ZTTD,0.288437999
GTEX-ZUA1,0.020279224
GTEX-ZVZQ,-0.863990004
GTEX-ZXG5,0.095481884
GTEX-ZY6K,1.061463152
GTEX-ZYFG,0.200921942
GTEX-ZYT6,0.509125527
GTEX-ZYVF,-0.523352442
GTEX-ZYW4,0.102740899
GTEX-ZYWO,0.710889719
GTEX-ZYY3,0.936681262
GTEX-ZZPT,-0.373915843
GTEX-ZZPU,0.380317006
